district,name,location,taluk,village,status,contacts,facilities_available,total_people,total_males,total_females,total_infants,food_req,clothing_req,sanitary_req,medical_req,other_req
alp,"NSS Karayogam, Elanjimel",,Chengannoor,Puliyoor,active,,,140,,,,,,,,
alp,JBS Thonakkadu,JBS Thonakkadu,Chengannoor,Puliyoor,active,,,240,,,,,,,,
ekm,St.Ignatious School,"St.Ignatious School
Kanjiramattom
682315",Kanayannoor,Amballoor,active,"Geroge Varghees - 9895971367
Paulose - 9946891841",,,,,,,,,,
alp,Thonakkadu St.George LPS,Thonakkadu St.George LPS,Chengannoor,Puliyoor,active,,,180,,,,,,,,
ekm,St.Francis School,"St.Francis School
Amballoor
Pin 682315",Kanayannoor,Amballoor,active,"Rafi - 9567976167
Joy - 9447986876",,,,,,,,,,
alp,"SNDP Hall, Elanjimel",,Chengannoor,Puliyoor,active,,,90,,,,,,,,
alp,MSC LPS,,Chengannoor,Puliyoor,active,,,1120,,,,,,,,
ekm,Pakalveedu Perumbavoor,"Pakalveedu
Perumbavoor",Kunnathunad,Perumbavoor,active,,,77,,,,,,,,
alp,Community Hall,,Chengannoor,Puliyoor,active,,,480,,,,,,,,
alp,IHRD Puliyoor,IHRD Puliyoor,Chengannoor,Puliyoor,active,,,235,,,,,,,,
ekm,"Mount Horeb Church Parish Hall, South Marady","Mount Horeb Church Parish Hall, South Marady - Ward -12",MUVATTUPUZHA,Marady,active,9497680281,yes,103,,,,yes,yes,yes,yes,
alp,Suday School,,Chengannoor,Puliyoor,active,,,235,,,,,,,,
alp,"SNDP , Kulikkampalam","SNDP , Kulikkampalam",Chengannoor,Puliyoor,active,,,380,,,,,,,,
ekm,Poopani Library Hall,Poopani Library Hall,Kunnathunad,Perumbavoor,active,,,408,,,,,,,,
alp,MSC Church,MSC Church,Chengannoor,Puliyoor,active,,,484,,,,,,,,
ekm,"Nursery School, kakkoochira","Nursery School, kakkoochira, Ward -7",MUVATTUPUZHA,Marady,active,9946537021,yes,120,,,,yes,yes,yes,yes,
alp,Block Office,Block Office,Chengannoor,Puliyoor,active,,,216,,,,,,,,
alp,Puliyoor HS,Puliyoor HS,Chengannoor,Puliyoor,active,,,1800,,,,,,,,
